type	name	code	yyyymm	value
APT	수정구	41131	201102	9
APT	중원구	41133	201102	8.7
APT	분당구	41135	201102	7.5
APT	의정부시	41150	201102	8.9
APT	만안구	41171	201102	8
APT	동안구	41173	201102	7.4
APT	부천시	41190	201102	8
APT	광명시	41210	201102	7.4
APT	평택시	41220	201102	9.7
APT	동두천시	41250	201102	12
APT	상록구	41271	201102	8.6
APT	단원구	41273	201102	8.7
APT	덕양구	41281	201102	8.1
APT	일산동구	41285	201102	8.7
APT	일산서구	41287	201102	8.6
APT	과천시	41290	201102	7.5
APT	구리시	41310	201102	8.3
APT	남양주시	41360	201102	10
APT	오산시	41370	201102	9.1
APT	시흥시	41390	201102	9.6
APT	군포시	41410	201102	7.4
APT	의왕시	41430	201102	7.7
APT	하남시	41450	201102	8
APT	용인시	4146	201102	8.3
APT	처인구	41461	201102	10.5
APT	기흥구	41463	201102	8.5
APT	수지구	41465	201102	7.9
APT	파주시	41480	201102	9.6
APT	이천시	41500	201102	10.6
APT	안성시	41550	201102	11.5
APT	김포시	41570	201102	9
APT	화성시	41590	201102	8.3
APT	광주시	41610	201102	10
APT	양주시	41630	201102	11.2
APT	포천시	41650	201102	12
APT	강원도	42	201102	11.9
APT	춘천시	42110	201102	8.7
APT	원주시	42130	201102	11.9
APT	속초시	42210	201102	12
APT	충청북도	43	201102	11
APT	청주시	4311	201102	10.4
APT	흥덕구	43113	201102	9.2
APT	충주시	43130	201102	10.9
APT	충청남도	44	201102	10.9
APT	천안시	44130	201102	9.6
APT	동남구	44131	201102	10.5
APT	서북구	44133	201102	9
APT	공주시	44150	201102	11.9
APT	아산시	44200	201102	12
APT	전라북도	45	201102	9.7
APT	완산구	45111	201102	8.8
APT	덕진구	45113	201102	9.4
APT	군산시	45130	201102	8.9
APT	익산시	45140	201102	9.2
APT	전라남도	46	201102	12.1
APT	목포시	46110	201102	12.2
APT	광양시	46230	201102	12
APT	경상북도	47	201102	10.3
APT	포항시	4711	201102	8
APT	북구	47113	201102	8.6
APT	구미시	47190	201102	11.3
APT	경상남도	48	201102	8.5
APT	의창구	48121	201102	8.3
APT	성산구	48123	201102	7.7
APT	마산합포구	48125	201102	9
APT	마산회원구	48127	201102	7.5
APT	진해구	48129	201102	7.5
APT	진주시	48170	201102	10.2
APT	통영시	48220	201102	10.2
APT	사천시	48240	201102	9.4
APT	김해시	48250	201102	8.3
APT	거제시	48310	201102	9.7
APT	양산시	48330	201102	8
APT	제주특별자치시도	50	201102	9.1
APT	제주시	50110	201102	8.9
YLDSD	서울특별시	11	201102	8.5
YLDSD	종로구	11110	201102	9.2
YLDSD	중구	11140	201102	9.2
YLDSD	용산구	11170	201102	9.2
YLDSD	양천구	11470	201102	8.6
YLDSD	강서구	11500	201102	8.6
YLDSD	구로구	11530	201102	8.6
YLDSD	금천구	11545	201102	8.6
YLDSD	영등포구	11560	201102	8.6
YLDSD	동작구	11590	201102	8.6
YLDSD	관악구	11620	201102	8.6
YLDSD	서초구	11650	201102	8.5
YLDSD	강남구	11680	201102	8.5
YLDSD	송파구	11710	201102	8.5
YLDSD	강동구	11740	201102	8.5
YLDSD	성동구	11200	201102	8.2
YLDSD	광진구	11215	201102	8.2
YLDSD	동대문구	11230	201102	8.2
YLDSD	중랑구	11260	201102	8.2
YLDSD	서울시성북구	11290	201102	8.2
YLDSD	강북구	11305	201102	8.2
YLDSD	서울시도봉구	11320	201102	8.2
YLDSD	서울시노원구	11350	201102	8.2
YLDSD	은평구	11380	201102	8.4
YLDSD	서대문구	11410	201102	8.4
YLDSD	마포구	11440	201102	8.4
YLDSD	부산광역시	26	201102	11.7
YLDSD	대구광역시	27	201102	9.8
YLDSD	인천광역시	28	201102	12.1
YLDSD	광주광역시	29	201102	12
YLDSD	대전광역시	30	201102	10.9
YLDSD	울산광역시	31	201102	12.1
YLDSD	세종특별자치시	36	201102	12
YLDSD	경기도	41	201102	10.9
YLDSD	강원도	42	201102	12.8
YLDSD	충청북도	43	201102	11.1
YLDSD	충청남도	44	201102	12
YLDSD	전라북도	45	201102	15.3
YLDSD	전라남도	46	201102	13.6
YLDSD	경상북도	47	201102	13.4
YLDSD	경상남도	48	201102	9
YLDSD	제주특별자치시도	50	201102	12.7
DD	서울특별시	11	201102	9.1
DD	종로구	11110	201102	9.8
DD	중구	11140	201102	9.8
DD	용산구	11170	201102	9.8
DD	양천구	11470	201102	9.1
DD	강서구	11500	201102	9.1
DD	구로구	11530	201102	9.1
DD	금천구	11545	201102	9.1
DD	영등포구	11560	201102	9.1
DD	동작구	11590	201102	9.1
DD	관악구	11620	201102	9.1
DD	서초구	11650	201102	8.4
DD	강남구	11680	201102	8.4
DD	송파구	11710	201102	8.4
DD	강동구	11740	201102	8.4
DD	성동구	11200	201102	9.2
DD	광진구	11215	201102	9.2
DD	동대문구	11230	201102	9.2
DD	중랑구	11260	201102	9.2
DD	서울시성북구	11290	201102	9.2
DD	강북구	11305	201102	9.2
DD	서울시도봉구	11320	201102	9.2
DD	서울시노원구	11350	201102	9.2
DD	은평구	11380	201102	9.5
DD	서대문구	11410	201102	9.5
DD	마포구	11440	201102	9.5
DD	부산광역시	26	201102	10.1
DD	대구광역시	27	201102	13
DD	인천광역시	28	201102	13.2
DD	광주광역시	29	201102	14.7
DD	대전광역시	30	201102	10.9
DD	울산광역시	31	201102	10.6
DD	세종특별자치시	36	201102	13.1
DD	경기도	41	201102	10.8
DD	강원도	42	201102	13.2
DD	충청북도	43	201102	14
DD	충청남도	44	201102	13.1
DD	전라북도	45	201102	12.7
DD	전라남도	46	201102	13.9
DD	경상북도	47	201102	14.2
DD	경상남도	48	201102	11.2
DD	제주특별자치시도	50	201102	8.9
APT	서울특별시	11	201103	7.4
APT	종로구	11110	201103	7.6
APT	중구	11140	201103	7.4
