원본	매칭용처리후	법정동코드
제주특별자치도 제주시 애월읍 애월리	제주특별자치도 제주시 애월읍 애월리	5011025334
제주특별자치도 제주시 애월읍 어음리	제주특별자치도 제주시 애월읍 어음리	5011025336
제주특별자치도 제주시 애월읍 유수암리	제주특별자치도 제주시 애월읍 유수암리	5011025342
제주특별자치도 제주시 애월읍 장전리	제주특별자치도 제주시 애월읍 장전리	5011025327
제주특별자치도 제주시 애월읍 하가리	제주특별자치도 제주시 애월읍 하가리	5011025330
제주특별자치도 제주시 애월읍 하귀1리	제주특별자치도 제주시 애월읍 하귀1리	5011025340
제주특별자치도 제주시 애월읍 하귀2리	제주특별자치도 제주시 애월읍 하귀2리	5011025341
제주특별자치도 제주시 연동	제주특별자치도 제주시 연동	5011013700
제주특별자치도 제주시 영평동	제주특별자치도 제주시 영평동	5011013600
제주특별자치도 제주시 오등동	제주특별자치도 제주시 오등동	5011013400
제주특별자치도 제주시 오라삼동	제주특별자치도 제주시 오라삼동	5011012100
제주특별자치도 제주시 오라이동	제주특별자치도 제주시 오라이동	5011012000
제주특별자치도 제주시 오라일동	제주특별자치도 제주시 오라일동	5011011900
제주특별자치도 제주시 외도이동	제주특별자치도 제주시 외도이동	5011012400
제주특별자치도 제주시 외도일동	제주특별자치도 제주시 외도일동	5011012300
제주특별자치도 제주시 용강동	제주특별자치도 제주시 용강동	5011013200
제주특별자치도 제주시 용담삼동	제주특별자치도 제주시 용담삼동	5011011000
제주특별자치도 제주시 용담이동	제주특별자치도 제주시 용담이동	5011010900
제주특별자치도 제주시 용담일동	제주특별자치도 제주시 용담일동	5011010800
제주특별자치도 제주시 우도면 연평리	제주특별자치도 제주시 우도면 연평리	5011033021
제주특별자치도 제주시 우도면 천진리	제주특별자치도 제주시 우도면 천진리	5011033023
제주특별자치도 제주시 월평동	제주특별자치도 제주시 월평동	5011013500
제주특별자치도 제주시 이도이동	제주특별자치도 제주시 이도이동	5011010400
제주특별자치도 제주시 이도일동	제주특별자치도 제주시 이도일동	5011010300
제주특별자치도 제주시 이호이동	제주특별자치도 제주시 이호이동	5011012600
제주특별자치도 제주시 이호일동	제주특별자치도 제주시 이호일동	5011012500
제주특별자치도 제주시 일도이동	제주특별자치도 제주시 일도이동	5011010200
제주특별자치도 제주시 일도일동	제주특별자치도 제주시 일도일동	5011010100
제주특별자치도 제주시 조천읍 교래리	제주특별자치도 제주시 조천읍 교래리	5011025929
제주특별자치도 제주시 조천읍 대흘리	제주특별자치도 제주시 조천읍 대흘리	5011025926
제주특별자치도 제주시 조천읍 북촌리	제주특별자치도 제주시 조천읍 북촌리	5011025927
제주특별자치도 제주시 조천읍 선흘리	제주특별자치도 제주시 조천읍 선흘리	5011025930
제주특별자치도 제주시 조천읍 신촌리	제주특별자치도 제주시 조천읍 신촌리	5011025921
제주특별자치도 제주시 조천읍 신흥리	제주특별자치도 제주시 조천읍 신흥리	5011025925
제주특별자치도 제주시 조천읍 와산리	제주특별자치도 제주시 조천읍 와산리	5011025928
제주특별자치도 제주시 조천읍 와흘리	제주특별자치도 제주시 조천읍 와흘리	5011025922
제주특별자치도 제주시 조천읍 조천리	제주특별자치도 제주시 조천읍 조천리	5011025923
제주특별자치도 제주시 조천읍 함덕리	제주특별자치도 제주시 조천읍 함덕리	5011025924
제주특별자치도 제주시 추자면 대서리	제주특별자치도 제주시 추자면 대서리	5011032021
제주특별자치도 제주시 추자면 묵리	제주특별자치도 제주시 추자면 묵리	5011032023
제주특별자치도 제주시 추자면 신양리	제주특별자치도 제주시 추자면 신양리	5011032025
제주특별자치도 제주시 추자면 영흥리	제주특별자치도 제주시 추자면 영흥리	5011032022
제주특별자치도 제주시 추자면 예초리	제주특별자치도 제주시 추자면 예초리	5011032024
제주특별자치도 제주시 한경면 고산리	제주특별자치도 제주시 한경면 고산리	5011031023
제주특별자치도 제주시 한경면 금등리	제주특별자치도 제주시 한경면 금등리	5011031025
제주특별자치도 제주시 한경면 낙천리	제주특별자치도 제주시 한경면 낙천리	5011031029
제주특별자치도 제주시 한경면 두모리	제주특별자치도 제주시 한경면 두모리	5011031027
제주특별자치도 제주시 한경면 신창리	제주특별자치도 제주시 한경면 신창리	5011031028
제주특별자치도 제주시 한경면 용수리	제주특별자치도 제주시 한경면 용수리	5011031022
제주특별자치도 제주시 한경면 저지리	제주특별자치도 제주시 한경면 저지리	5011031030
제주특별자치도 제주시 한경면 조수리	제주특별자치도 제주시 한경면 조수리	5011031026
제주특별자치도 제주시 한경면 청수리	제주특별자치도 제주시 한경면 청수리	5011031021
제주특별자치도 제주시 한경면 판포리	제주특별자치도 제주시 한경면 판포리	5011031024
제주특별자치도 제주시 한림읍 귀덕리	제주특별자치도 제주시 한림읍 귀덕리	5011025021
제주특별자치도 제주시 한림읍 금능리	제주특별자치도 제주시 한림읍 금능리	5011025033
제주특별자치도 제주시 한림읍 금악리	제주특별자치도 제주시 한림읍 금악리	5011025025
제주특별자치도 제주시 한림읍 대림리	제주특별자치도 제주시 한림읍 대림리	5011025023
제주특별자치도 제주시 한림읍 동명리	제주특별자치도 제주시 한림읍 동명리	5011025026
제주특별자치도 제주시 한림읍 명월리	제주특별자치도 제주시 한림읍 명월리	5011025027
제주특별자치도 제주시 한림읍 상대리	제주특별자치도 제주시 한림읍 상대리	5011025029
제주특별자치도 제주시 한림읍 상명리	제주특별자치도 제주시 한림읍 상명리	5011025030
제주특별자치도 제주시 한림읍 수원리	제주특별자치도 제주시 한림읍 수원리	5011025022
제주특별자치도 제주시 한림읍 옹포리	제주특별자치도 제주시 한림읍 옹포리	5011025028
제주특별자치도 제주시 한림읍 월령리	제주특별자치도 제주시 한림읍 월령리	5011025032
제주특별자치도 제주시 한림읍 월림리	제주특별자치도 제주시 한림읍 월림리	5011025034
제주특별자치도 제주시 한림읍 한림리	제주특별자치도 제주시 한림읍 한림리	5011025024
제주특별자치도 제주시 한림읍 한수리	제주특별자치도 제주시 한림읍 한수리	5011025035
제주특별자치도 제주시 한림읍 협재리	제주특별자치도 제주시 한림읍 협재리	5011025031
제주특별자치도 제주시 해안동	제주특별자치도 제주시 해안동	5011013900
제주특별자치도 제주시 화북이동	제주특별자치도 제주시 화북이동	5011011200
제주특별자치도 제주시 화북일동	제주특별자치도 제주시 화북일동	5011011100
제주특별자치도 제주시 회천동	제주특별자치도 제주시 회천동	5011013300
충청남도 계룡시 금암동	충청남도 계룡시 금암동	4425010100
충청남도 계룡시 두마면 농소리	충청남도 계룡시 두마면 농소리	4425031024
충청남도 계룡시 두마면 두계리	충청남도 계룡시 두마면 두계리	4425031021
충청남도 계룡시 두마면 왕대리	충청남도 계룡시 두마면 왕대리	4425031022
충청남도 계룡시 두마면 입암리	충청남도 계룡시 두마면 입암리	4425031023
충청남도 계룡시 신도안면 남선리	충청남도 계룡시 신도안면 남선리	4425033021
충청남도 계룡시 신도안면 부남리	충청남도 계룡시 신도안면 부남리	4425033023
충청남도 계룡시 신도안면 용동리	충청남도 계룡시 신도안면 용동리	4425033025
충청남도 계룡시 신도안면 정장리	충청남도 계룡시 신도안면 정장리	4425033022
충청남도 계룡시 엄사면 광석리	충청남도 계룡시 엄사면 광석리	4425031523
충청남도 계룡시 엄사면 도곡리	충청남도 계룡시 엄사면 도곡리	4425031524
충청남도 계룡시 엄사면 엄사리	충청남도 계룡시 엄사면 엄사리	4425031521
충청남도 계룡시 엄사면 유동리	충청남도 계룡시 엄사면 유동리	4425031522
충청남도 계룡시 엄사면 향한리	충청남도 계룡시 엄사면 향한리	4425031525
충청남도 공주시 검상동	충청남도 공주시 검상동	4415012400
충청남도 공주시 계룡면 경천리	충청남도 공주시 계룡면 경천리	4415033030
충청남도 공주시 계룡면 구왕리	충청남도 공주시 계룡면 구왕리	4415033026
충청남도 공주시 계룡면 금대리	충청남도 공주시 계룡면 금대리	4415033032
충청남도 공주시 계룡면 기산리	충청남도 공주시 계룡면 기산리	4415033021
충청남도 공주시 계룡면 내흥리	충청남도 공주시 계룡면 내흥리	4415033025
충청남도 공주시 계룡면 봉명리	충청남도 공주시 계룡면 봉명리	4415033023
충청남도 공주시 계룡면 상성리	충청남도 공주시 계룡면 상성리	4415033033
충청남도 공주시 계룡면 양화리	충청남도 공주시 계룡면 양화리	4415033029
충청남도 공주시 계룡면 월곡리	충청남도 공주시 계룡면 월곡리	4415033034
충청남도 공주시 계룡면 월암리	충청남도 공주시 계룡면 월암리	4415033022
충청남도 공주시 계룡면 유평리	충청남도 공주시 계룡면 유평리	4415033037
충청남도 공주시 계룡면 죽곡리	충청남도 공주시 계룡면 죽곡리	4415033035
충청남도 공주시 계룡면 중장리	충청남도 공주시 계룡면 중장리	4415033027
충청남도 공주시 계룡면 하대리	충청남도 공주시 계룡면 하대리	4415033028
충청남도 공주시 계룡면 향지리	충청남도 공주시 계룡면 향지리	4415033036
충청남도 공주시 계룡면 화은리	충청남도 공주시 계룡면 화은리	4415033024
충청남도 공주시 계룡면 화헌리	충청남도 공주시 계룡면 화헌리	4415033031
충청남도 공주시 교동	충청남도 공주시 교동	4415010600
충청남도 공주시 금성동	충청남도 공주시 금성동	4415010800
충청남도 공주시 금학동	충청남도 공주시 금학동	4415011000
충청남도 공주시 금흥동	충청남도 공주시 금흥동	4415012100
충청남도 공주시 동현동	충청남도 공주시 동현동	4415012700
충청남도 공주시 무릉동	충청남도 공주시 무릉동	4415011800
충청남도 공주시 반죽동	충청남도 공주시 반죽동	4415010100
충청남도 공주시 반포면 공암리	충청남도 공주시 반포면 공암리	4415034021
충청남도 공주시 반포면 마암리	충청남도 공주시 반포면 마암리	4415034028
충청남도 공주시 반포면 봉곡리	충청남도 공주시 반포면 봉곡리	4415034029
충청남도 공주시 반포면 상신리	충청남도 공주시 반포면 상신리	4415034030
충청남도 공주시 반포면 송곡리	충청남도 공주시 반포면 송곡리	4415034023
충청남도 공주시 반포면 온천리	충청남도 공주시 반포면 온천리	4415034032
충청남도 공주시 반포면 하신리	충청남도 공주시 반포면 하신리	4415034031
